epoch,train_loss,train_acc,val_loss,val_acc
1,0.6822639480233192,0.453125,0.8577001392841339,0.28125
2,0.456598162651062,0.7890625,0.8158757835626602,0.6875
3,0.4326695688068867,0.75,0.724854588508606,0.6875
4,0.3065219260752201,0.84375,0.7659865394234657,0.71875
5,0.34237123653292656,0.8359375,0.6716908514499664,0.65625
6,0.22084876149892807,0.9140625,0.717177003622055,0.6875
7,0.20580232329666615,0.8984375,0.7371673583984375,0.6875
8,0.23295777291059494,0.90625,0.6918497681617737,0.65625
9,0.12610214203596115,0.953125,1.0657848417758942,0.59375
10,0.1062147959601134,0.9609375,1.5225336104631424,0.625
11,0.10544042428955436,0.96875,1.1972646415233612,0.65625
12,0.0850227102637291,0.96875,1.0729010701179504,0.53125
13,0.12146915984340012,0.953125,0.9921462833881378,0.59375
14,0.1532956666778773,0.9375,2.0811827927827835,0.71875
15,0.20059124939143658,0.9375,0.949376791715622,0.625
16,0.11220821714960039,0.9609375,0.9718536734580994,0.5625
17,0.04947989550419152,0.984375,1.244869887828827,0.65625
18,0.10614602081477642,0.9609375,1.1619281768798828,0.625
19,0.05143716442398727,0.984375,1.3067164421081543,0.59375
20,0.115731724887155,0.9765625,1.127145230770111,0.625
