,precision,recall,f1-score,support
Abnormal,0.8846153846153846,0.92,0.9019607843137255,25.0
Normal,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
accuracy,0.84375,0.84375,0.84375,0.84375
macro avg,0.7756410256410255,0.7457142857142858,0.7586726998491704,32.0
weighted avg,0.8369391025641024,0.84375,0.8392722473604828,32.0
