epoch,train_loss,train_acc,val_loss,val_acc
1,0.7568288818001747,0.515625,0.6857413947582245,0.78125
2,0.7558607161045074,0.4765625,0.682166188955307,0.78125
3,0.7758080586791039,0.4296875,0.6779849827289581,0.78125
4,0.7223265543580055,0.46875,0.6749112904071808,0.78125
5,0.7359387278556824,0.4921875,0.6803867518901825,0.84375
6,0.7173146232962608,0.5078125,0.6868766248226166,0.375
7,0.7036629468202591,0.5390625,0.6914440095424652,0.21875
8,0.7022238597273827,0.46875,0.6951987743377686,0.21875
9,0.6823481097817421,0.4609375,0.6976031064987183,0.21875
10,0.6957015171647072,0.4765625,0.700699508190155,0.21875
11,0.6570014283061028,0.5625,0.70351642370224,0.21875
12,0.6554847732186317,0.5859375,0.7052486836910248,0.21875
13,0.6841700524091721,0.4453125,0.7088304162025452,0.21875
14,0.6340968683362007,0.53125,0.711873859167099,0.21875
15,0.6749301627278328,0.484375,0.7153509855270386,0.21875
16,0.678054578602314,0.453125,0.7195351123809814,0.21875
17,0.650361105799675,0.53125,0.7202664315700531,0.21875
18,0.6173127964138985,0.5546875,0.723341703414917,0.21875
19,0.5995220020413399,0.578125,0.7274117171764374,0.21875
20,0.6399961113929749,0.5,0.7317821085453033,0.21875
21,0.6126053184270859,0.5546875,0.7373019158840179,0.21875
22,0.5810578763484955,0.53125,0.7424435317516327,0.21875
23,0.5918192565441132,0.53125,0.7486748397350311,0.21875
24,0.6298957839608192,0.46875,0.7489311695098877,0.21875
25,0.5929955393075943,0.5234375,0.7545839548110962,0.21875
26,0.5442490801215172,0.6484375,0.7576239705085754,0.21875
27,0.5635624304413795,0.5703125,0.7610317766666412,0.21875
28,0.6073404923081398,0.4921875,0.7692602574825287,0.21875
29,0.5807758569717407,0.5234375,0.7767261862754822,0.21875
30,0.567939430475235,0.46875,0.7835162580013275,0.21875
31,0.546488530933857,0.4921875,0.7869998216629028,0.21875
32,0.5392377376556396,0.53125,0.7893808782100677,0.21875
33,0.5783454105257988,0.53125,0.7937477827072144,0.21875
34,0.5403393432497978,0.5546875,0.794458419084549,0.21875
35,0.5478934980928898,0.546875,0.7967328727245331,0.21875
36,0.5691256299614906,0.515625,0.8012692332267761,0.21875
37,0.5614396929740906,0.4609375,0.8091235160827637,0.21875
38,0.5662691779434681,0.515625,0.8106065392494202,0.21875
39,0.5417148917913437,0.53125,0.8161934912204742,0.21875
40,0.5786821991205215,0.4921875,0.8176092505455017,0.21875
